language_code,bad_word
fi,kusaista
fi,kuseksia
fi,kusettaa
fi,kusi
fi,kusipää
fi,kusta
fi,kyrpiintynyt
fi,kyrpiintyä
fi,kyrpiä
fi,kyrpä
fi,kyrpänaama
fi,kyrvitys
fi,lahtari
fi,lutka
fi,molo
fi,molopää
fi,mulkero
fi,mulkku
fi,mulkvisti
fi,muna
fi,munapää
fi,munaton
fi,mutakuono
fi,mutiainen
fi,naida
fi,nainti
fi,narttu
fi,neekeri
fi,nekru
fi,nuolla persettä
fi,nussia
fi,nussija
fi,nussinta
fi,paljaalla
fi,palli
fi,pallit
fi,paneskella
fi,panettaa
fi,panna
fi,pano
fi,pantava
fi,paska
fi,paskainen
fi,paskamainen
fi,paskanmarjat
fi,paskantaa
fi,paskapuhe
fi,paskapää
fi,paskattaa
fi,paskiainen
fi,paskoa
fi,pehko
fi,pentele
fi,perkele
fi,perkeleesti
fi,persaukinen
fi,perse
fi,perseennuolija
fi,perseet olalla
fi,persereikä
fi,perseääliö
fi,persläpi
fi,perspano
fi,persvako
fi,pilkunnussija
fi,pillu
fi,pillut
fi,pipari
fi,piru
fi,pistää
fi,pyllyvako
fi,reikä
fi,reva
fi,ripsipiirakka
fi,runkata
fi,runkkari
fi,runkkaus
fi,runkku
fi,ryssä
fi,rättipää
fi,saatanasti
fi,suklaaosasto
fi,tavara
fi,toosa
fi,tuhkaluukku
fi,tumputtaa
fi,turpasauna
fi,tussu
fi,tussukka
fi,tussut
fi,vakipano
fi,vetää käteen
fi,viiksi
fi,vittu
fi,vittuilla
fi,vittuilu
fi,vittumainen
fi,vittuuntua
fi,vittuuntunut
fi,vitun
fi,vitusti
fi,vituttaa
fi,vitutus
fi,äpärä
fil,anak ka ng puta
fil,bayag
fil,bobo
fil,burat
fil,jakol
fil,kantot
fil,nognog
fil,puta ka
fil,putang ina
fil,tang ina
fil,tanga
fil,tangina
fil,ulol
fr,Bitembois
fr,DMC
fr,Dieu me pignole
fr,Dieu me tripote
fr,FDP
fr,MALPT
fr,NTM
fr,PD
fr,RAB
fr,TG
fr,aller aux putes
fr,aller niquer sa mère
